location,month,sum(new_deaths_per_million),sum(new_cases_per_million)
Spain,1,22.18,2611.391
Spain,3,181.02800000000002,2049.0510000000004
Spain,4,343.9,2513.3680000000004
Spain,5,55.26899999999999,557.0350000000001
Spain,6,26.261999999999997,209.43499999999995
Spain,7,1.9279999999999997,839.508
Spain,8,13.878,3728.7299999999996
Spain,9,57.685,6551.843000000001
Spain,10,87.41499999999999,8907.964
Spain,11,196.57899999999998,9892.228
Spain,12,123.36899999999999,5990.36
